Date	AdId	Impressions	Clicks	Cost	Ctr	AvgCpc
2026-03-01	14849757093	112	3	61740000	2.68	20580000
2026-03-01	14849757094	16	0	0	0.00	--
2026-03-01	14849757095	4	0	0	0.00	--
2026-03-01	14849757096	95	4	77810000	4.21	19450000
2026-03-01	14849757097	28	0	0	0.00	--
2026-03-01	14849757098	50	0	0	0.00	--
2026-03-01	14849757099	374	5	59970000	1.34	11990000
2026-03-01	14849757100	128	1	35620000	0.78	35620000
2026-03-01	14849757101	1765	18	463870000	1.02	25770000
2026-03-01	14849757102	35	0	0	0.00	--
2026-03-01	14849757103	9	0	0	0.00	--
2026-03-01	14849757104	48	0	0	0.00	--
2026-03-01	14849757105	20	0	0	0.00	--
2026-03-01	14849757107	29	0	0	0.00	--
2026-03-01	14849757108	5	0	0	0.00	--
2026-03-01	14849757109	2	0	0	0.00	--
2026-03-01	14849757110	90	1	90500000	1.11	90500000
2026-03-01	14849757111	6	0	0	0.00	--
2026-03-01	14849757112	57	1	5280000	1.75	5280000
2026-03-01	14849757113	224	0	0	0.00	--
2026-03-01	14849757114	77	1	15080000	1.30	15080000
2026-03-01	14849757115	406	6	74810000	1.48	12470000
2026-03-01	14849757116	112	1	1920000	0.89	1920000
2026-03-01	14849757117	24	0	0	0.00	--
2026-03-01	14849757118	56	0	0	0.00	--
2026-03-01	14849757119	55	0	0	0.00	--
2026-03-01	14849757120	31	0	0	0.00	--
2026-03-01	14849757122	7	0	0	0.00	--
2026-03-01	14849757123	11	0	0	0.00	--
2026-03-01	14849757125	36	0	0	0.00	--
2026-03-01	14849757128	202	2	52290000	0.99	26150000
2026-03-01	14849757129	261	9	127210000	3.45	14130000
2026-03-01	14849757130	110	0	0	0.00	--
2026-03-01	14849757131	124	2	35330000	1.61	17670000
2026-03-01	14849757133	2	0	0	0.00	--
2026-03-01	15260123255	6480	39	1101020000	0.60	28230000
2026-03-01	16216338591	11674	184	3303110000	1.58	17950000
2026-03-01	16216338592	389	3	98860000	0.77	32950000
2026-03-01	16216338593	28	1	5480000	3.57	5480000
2026-03-01	16216338594	30	0	0	0.00	--
2026-03-01	16216338595	43	0	0	0.00	--
2026-03-01	16294850106	7	1	14950000	14.29	14950000
2026-03-01	16294850107	6	0	0	0.00	--
